,Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Stormwater_int,Appropriate_Location,Suggested_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices_Notes,Nurseries,PhotoCredit01,PhotoCredit02,PhotoCredit03,PhotoCredit04,Additional_Species_Cultivars_Varieties,Special_List,Habitat,Habitat_int,Thrifty150,Thrifty150_int,Sidewalk_Landscaping_Plants,Sidewalk_Landscaping_Plants_int,Super60,Super60_int,Top20,Top20_int,Shady_Clay,Shady_Clay_int,Sandy_Soil,Sandy_Soil_int
10,Agonis flexuosa  'After Dark',After Dark Peppermint Tree,Myrtaceae,,Tree,,,> 24 ft,Exotic,,Sun,,,None,,Bees;Butterflies;Birds,No,0.0,Sidewalk,,2 (B),‘After Dark’ is a fast grower that requires extra tree care.,,Bri Weldon (CC BY 2.0),Jennifer de Graaf (CC BY-NC 2.0),Bri Weldon (CC BY 2.0),Jennifer de Graaf (CC BY-NC 2.0),,,Yes,1.0,,,Yes,1.0,,,,,,,,
11,Alcea rosea,Hollyhock,Malvaceae,,Perennial,Summer,Orange;Pink;Purple;Red;White;Yellow,7-12 ft,Exotic,,Sun,Loam;Sand,,Low,Buds/greens;Pollinator,Bees;Butterflies;Hummingbirds,No,0.0,Garden,16,,Attracts West Coast Painted Lady (Vanessa annabella) butterfly.,,©2011 Nick Kurzenko,©2002 California Academy of Sciences,©2011 Nick Kurzenko,©2005 Luigi Rignanese (CC BY-NC 3.0),,,Yes,1.0,,,,,,,,,,,,
12,Alnus rhombifolia,White Alder,Betulaceae,,Tree,Fall,Yellow,> 24 ft,CA Native,Riparian,Sun;Shade,Clay;Loam;Sand;Rock,,Moderate,Pollinator,Birds;Butterflies;Hummingbirds,Yes,1.0,Garden,,,Streamside plant.,,©Cal Poly San Luis Obispo,©2011 BonTerra Consulting,©2008 Keir Morse (CC BY-NC-SA 3.0),©2012 Daniel Passarini (CC BY-NC-SA 3.0),,,Yes,1.0,,,,,,,,,,,,
13,Amelanchier spp.,Western Service Berry,Rosaceae,,Shrub,Summer,White,4-6 ft,CA Native,Coastal Scrub,Sun;Part Shade,Clay;Loam;Rock,,Low,Fruit;Pollinator,Bees;Birds;Butterflies;Insects,Yes,1.0,Garden,17,,,,©2008 George W. Hartwell,©2014 John Doyen,©2010 Vernon Smith (CC BY-NC-ND 3.0),©2007 Matt Below,,,Yes,1.0,,,,,,,,,,,,
14,Amsinckia spectabilis,Coast Fiddleneck,Boraginaceae,,Perennial,Spring,Yellow,1-3 ft,CA Native,Coastal scrub;Dunes,Sun,Clay;Loam;Sand;Rock,,None,Buds/greens;Pollinator,Bees;Birds;Butterflies;Insects,No,0.0,Garden;Roof,,,Easy to grow from seed. Attracts Painted Lady (Vanessa cardui) butterfly.,Oaktown;Bay Natives;East Bay Wilds;,©2008 Jorg & Mimi Fleige (CC BY-NC 3.0),©2010 Steven Thorsted (CC BY-NC 3.0),©2012 Keir Morse (CC BY-NC-SA 3.0),©2010 Steven Thorsted (CC BY-NC 3.0),,Sandy Soil,Yes,1.0,,,,,Y,1.0,,,,,Sandy Soil,1.0
15,Anaphalis margaritacea,Pearly Everlasting,Asteraceae,,Perennial,Summer,White;Yellow,1-3 ft,CA Native,Coastal scrub;Dunes;Woodland,Sun,Clay;Loam;Sand;Rock,,None,Buds/greens;Pollinator,Bees;Birds;Butterflies;Insects,No,0.0,Garden;Roof,,,"Recommended root runner plant (also gumplant, goldenrod, dudleya). Attracts American Lady (Vanessa virginensis) and Painted Lady (Vanessa cardui) butterflies.",Oaktown;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,"© Br. Alfred Brousseau, Saint Mary's College",©2008 Margo Bors,©2008 Keir Morse (CC BY-NC-SA 3.0),©2011 Jean Pawek,,Sandy Soil,Yes,1.0,,,,,Y,1.0,,,,,Sandy Soil,1.0
16,Angelica hendersonii,Coast Angelica,Apiaceae,,Perennial,Summer,White,1-3 ft,CA Native,Coastal scrub,Sun;Part Shade,Clay;Loam;Sand,,None,Buds/greens;Pollinator,Bees;Birds;Butterflies;Insects,No,0.0,Garden,,,"Recommended. Big robust leaves, but not weedy. Attracts Anise swallowtail (Papilio zelicaon) butterfly.",,©2012 Aaron Arthur,©2012 Aaron Arthur,©2012 Aaron Arthur,©2009 Jorg & Mimi Fleige (CC BY-NC 3.0),,,Yes,1.0,,,,,,,,,,,,
17,Aquilegia formosa,Western Columbine,Ranunculaceae,,Perennial,Spring,Red;Yellow,< 1 ft,CA Native,Coastal scrub;Woodland;Riparian,Sun;Part Shade,Clay;Loam;Rock,,Low,Buds/greens;Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1.0,Garden;Roof,,,Attracts Anna's Hummingbird.,,Charles Webber © California Academy of Sciences,brewbooks (CC BY-SA 2.0),©2002 Charles E. Jones,Charles Webber © California Academy of Sciences,,Shady Clay,Yes,1.0,Yes,1.0,,,,,,,Shady Clay,1.0,,
18,Arbutus menziesii,Madrone,Ericaceae,,Tree,Spring,White,> 24 ft,CA Native,Woodland,Sun;Shade,Clay;Loam;Rock,Structural pruning,Low,Cover;Fruit;Pollinator;Nesting,Bees;Birds;Butterflies;Hummingbirds,No,0.0,Garden,,,Peeling red bark.,,"© Br. Alfred Brousseau, Saint Mary's College.","© Br. Alfred Brousseau, Saint Mary's College.",©2013 Lynn Watson,©2013 Jean Pawek,,,Yes,1.0,,,,,,,,,,,,
19,Arbutus x 'Marina',Marina Strawberry Tree,Ericaceae,,Tree,Fall;Winter,Pink,13-24 ft,Exotic,,Sun,,,Low,,Birds; Butterflies,No,0.0,Sidewalk,,1 (A),Fruit drop can range from low volume to significant.,,Wendy Cutler (CC BY 2.0),Wendy Cutler (CC BY 2.0),Anna Fuster (CC BY-NC-ND 2.0),Martin LaBar (CC BY-NC 2.0),,,Yes,1.0,,,Yes,1.0,,,,,,,,
20,Aristolochia californica,Dutchman's Pipevine,Aristolochiaceae,,Vine,Spring;Winter,Burgundy,> 24 ft,CA Native,Coastal scrub;Woodland,Sun;Part Shade,Clay;Loam,,Low,Buds/greens;Cover;Pollinator,Butterflies;Insects,Yes,1.0,Garden,,,Slow grower. Attracts Pipe Vine Swallowtail (Battus philenor).,Oaktown;Native Here;Mission Blue;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2011 Steven Perry,©2013 Joshua McDill,"© Br. Alfred Brousseau, Saint Mary's College",©2012 Julie Kierstead Nelson,,Shady Clay,Yes,1.0,,,,,Y,1.0,,,Shady Clay,1.0,,
21,Armeria maritima var. californica,Sea Thrift,Plumbaginaceae,,Perennial,Summer,Pink,1-3 ft,CA Native,Coastal scrub;Dunes,Sun,Loam;Rock;Sand,,None,Pollinator,Butterflies,Yes,1.0,Garden;Sidewalk;Roof,15,,"Not recommended for east side planting (strictly sand dune plant), may need additional moisture in a garden environment. Attracts Green Hairstreak (Callophrys viridis).",Oaktown;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2009 Ron Wolf,©2006 Matt Below,©2009 Ron Wolf,©2009 Ron Wolf,,Sandy Soil,Yes,1.0,,,Yes,1.0,Y,1.0,,,,,Sandy Soil,1.0
22,Artemisia californica,California Sagebrush,Asteraceae,,Shrub,Summer,Yellow,4-6 ft,CA Native,Coastal scrub,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Cover;Nesting,Bees;Birds;Butterflies,Yes,1.0,Garden;Sidewalk;Roof,20,,Resilient and good visual. Attracts Nutall's White-Crowned Sparrow (Zonotrichia leucophrys nuttalli).,Oaktown;Native Here;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2004 BonTerra Consulting,"© Br. Alfred Brousseau, Saint Mary's College",©2003 Michael Charters,©2008 Jorg Fleige,,,Yes,1.0,Yes,1.0,Yes,1.0,Y,1.0,,,,,,
23,Artemisia pycnocephala,Dune Sagewort,Asteraceae,,Shrub,Summer,Yellow,4-6 ft,CA Native,Dunes,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Cover;Nesting,Bees,No,0.0,Garden;Sidewalk;Roof,,,"Excellent visually, but limited to coastal sand dunes.",Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2006 Matt Below,©2005 Will Chatfield-Taylor,©2011 Dylan Neubauer,©2013 Neal Kramer,,Sandy Soil,Yes,1.0,Yes,1.0,Yes,1.0,Y,1.0,,,,,Sandy Soil,1.0
24,Asarum caudatum,Wild Ginger,Aristolochiaceae,,Perennial,Spring,Burgundy,< 1 ft,CA Native,Woodland,Part Shade;Shade,Clay;Loam,,Moderate,Cover,No data,Yes,1.0,Sidewalk;Garden,,,,,"© Br. Alfred Brousseau, Saint Mary's College",Beatrice F. Howitt © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",,,Yes,1.0,,,Yes,1.0,,,,,,,,
25,Asclepias fascicularis,Narrowleaf Milkweed,Apocynaceae,,Perennial,Summer,Pink;White,1-3 ft,CA Native,Chaparral;Riparian;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,Low,Buds/greens;Pollinator,Bees;Birds;Butterflies;Insects,Yes,1.0,Sidewalk;Garden,1,,"Spreads easily, and may need confinement. Keep away from children/pets. Speciosa may be preferable. Attracts Monarch butterfly (Danaus plexippus).",,©2002 George Jackson,©2003 Michael Charters,J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,©2003 Michael Charters,,,Yes,1.0,,,Yes,1.0,,,,,,,,
26,Cirsium occidentale var. occidentale,Cobweb Thistle,Asteraceae,,Perennial,Summer,Pink,1-3 ft,CA Native,Coastal scrub;Dunes;Grassland/prairie;Woodland,Sun,Clay;Loam,,Low,Buds/greens;Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,No,0.0,Garden,21,,"Very temperamental plant. Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",,©2009 Dr. Mark S. Brunell,©2013 Robert Steers/NPS,©2009 Dr. Mark S. Brunell,"© Br. Alfred Brousseau, Saint Mary's College",,,Yes,1.0,,,,,,,,,,,,
27,Baccharis pilularis,Coyotebrush,Asteraceae,,Shrub,Fall,White,7-12 ft,CA Native,Coastal scrub;Dunes,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Cover;Buds/greens;Pollinator;Nesting,Bees;Birds;Butterflies;Insects,Yes,1.0,Sidewalk;Garden,12;17;21;22;23;5;8,,"Amazing for wildlife. Attracts Western fence lizard, Nutall's White-crowned Sparrow, Gray Hairstreak (Strymon melinus), and Common Buckeye (Junonia coeni).",Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2002 Lynn Watson,©2004 David A. Tharp,©1977 Lee Dittmann,©1996 Margo Bors,,Sandy Soil;Top 20,Yes,1.0,Yes,1.0,Yes,1.0,Y,1.0,,1.0,,,Sandy Soil,1.0
28,Berberis pinnata,Coast Barberry,Berberidaceae,,Shrub,Spring,Yellow,4-6 ft,CA Native,Woodland;Coastal scrub,Part Shade,Clay,,Low,Buds/greens;Pollinator,Bees;Birds,Yes,1.0,Garden,,,Attracts Cedar Waxwing (Bombycilla cedrorum) bird.,,©2013 Margo Bors,©2013 Terry Gosliner (CC BY-NC 3.0),Stan Shebs (CC BY-SA 3.0),©2008 Jorg Fleige (CC BY-NC 3.0),,,Yes,1.0,,,,,,,,,,,,
29,Bolboschoenus robustus,Alkali Bulrush / Sturdy Bulrush,Cyperaceae,Scirpus robustus,Perennial,Summer,Brown,4-6 ft,CA Native,Riparian;Wetland,Sun;Part Shade,Clay;Loam;Sand,,Moderate,Fruit;Nesting,Birds,No,0.0,Garden,,,,,©2013 Jake Ruygt,©2013 Jake Ruygt,©2011 Sangeet Khalsa,©2011 Sangeet Khalsa,,,Yes,1.0,,,,,,,,,,,,
30,Brahea edulis,Guadalupe Palm,Arecaceae,,Tree,,,> 24 ft,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk,,2 (B),Very slow growing in San Francisco.,,"SelecTree. ""Brahea edulis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Brahea edulis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Brahea edulis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Brahea edulis Photo Record."" 1995-2012. Jul 3, 2014.",,,,,,,Yes,1.0,,,,,,,,
31,Bromus carinatus ,California Brome,Poaceae,,Grass,Winter,Yellow,4-6 ft,CA Native,Chaparral;Coastal scrub;Dunes;Grassland/prairie;Woodland,Sun,Clay;Loam;Sand;Rock,,None,Cover;Fruit;Nesting,Birds;Butterflies,Yes,1.0,Garden,17,,Attracts Umber Skipper butterfly.,,©2011 Ryan Batten,©2011 Ryan Batten,©2012 Jean Pawek,©2012 Jean Pawek,,,Yes,1.0,,,,,,,,,,,,
32,Bromus laevipes,Woodland Brome,Poaceae,,Grass,Summer,Green,4-6 ft,CA Native,Chaparral;Grassland/prairie;Woodland,Shade,Clay;Loam;Sand;Rock,,None,Pollinator,Birds,No,0.0,Garden,,,Needs to be planted with other grasses.,,©2012 Jake Ruygt,©2013 Margo Bors,©2005 Steve Matson,©2011 Alice Cummings,,,Yes,1.0,,,,,,,,,,,,
33,Calamagrostis nutkaensis,Pacific Reedgrass,Poaceae,,Grass,Spring,Pink;White,4-6 ft,CA Native,Wetland;Woodland,Sun;Part Shade,Clay,,Low,Buds/greens,Insects,Yes,1.0,Sidewalk;Garden,,,"Needs fog and moisture, and tolerates wind well.",,©2008 Neal Kramer,©2006 Tom Annese,©2012 Asa Spade,©2012 Aaron E. Sims,,,Yes,1.0,,,Yes,1.0,,,,,,,,
34,Callistemon citrinus,Lemon Bottlebrush,Myrtaceae,,Tree,Spring;Summer,Red,13-24 ft,Exotic,,Sun,,,Low,Pollinator,Birds;Hummingbirds;Butterflies;Bees,No,0.0,Sidewalk,,2 (B),"Grows low, and wide canopy and needs a wide sidewalk, sticky flowers.",,"SelecTree. ""Callistemon citrinus Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Callistemon citrinus Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Callistemon citrinus Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Callistemon citrinus Photo Record."" 1995-2012. Jul 3, 2014.",,,Yes,1.0,Yes,1.0,Yes,1.0,,,,,,,,
35,Callistemon viminalis,Weeping Bottlebrush,Myrtaceae,,Tree,Spring;Summer,red,> 24 ft,Exotic,,Sun;Part Shade,,,Low,,Birds;Insects;Hummingbirds;Bees,No,0.0,Sidewalk,,1 (A),Has sticky flowers.,,"SelecTree. ""Callistemon viminalis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Callistemon viminalis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Callistemon viminalis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Callistemon viminalis Photo Record."" 1995-2012. Jul 3, 2014.",,,Yes,1.0,,,Yes,1.0,,,,,,,,
36,Calycanthus occidentalis,Spice Bush,Calycanthaceae,,Shrub,Summer,Burgundy,7-12 ft,CA Native,Wetland;Woodland,Sun;Shade,Clay;Loam;Sand,,Low,Buds/greens,Birds;Insects,Yes,1.0,Garden,,,,,Gerald and Buff Corsi © California Academy of Sciences,Gladys Lucille Smith © California Academy of Sciences,©2009 Barry Breckling (CC BY-NC-SA 3.0),©2013 Neal Kramer,,,Yes,1.0,,,,,,,,,,,,
37,Calystegia soldanella,Beach Morning Glory,Convolvulaceae,,Perennial,Spring,Pink,1-3 ft,CA Native,Dunes,Sun,Sand,,None,Buds/greens,Insects,No,0.0,Garden,,,"Needs dunes and shifting sand, most likely by ocean beach.",,©1997 Christopher L. Christie,©1998 Nick Kurzenko,©2007 Bradford Norman,©2005 George W. Hartwell,,,Yes,1.0,,,,,,,,,,,,
38,Carex pansa,Pacific Dune Sedge,Cyperaceae,,Perennial,Spring,Brown,< 1 ft,CA Native,Dunes,Sun,Sand,,Moderate,,No data,Yes,1.0,Garden;Roof,9,,"Practical plant that is a dry grower and needs sand dunes. Can form a tight, tough mat.",,©David Amme,©2003 Steve Matson,©2014 DryStoneGarden,©Hedgerow Farms,,,Yes,1.0,,,,,,,,,,,,
39,Carex praegracilis,Clustered Field Sedge,Cyperaceae,,Perennial,Summer,Green,1-3 ft,CA Native,Wetland,Sun,Clay;Loam;Sand;Rock,Cut to ground,Moderate,Nesting,Birds;Butterflies,Yes,1.0,Garden;Roof,,,"Suitable lawn alternative, and can tolerate standing water.",,©2004 James M. Andre,©2008 Steve Matson,©2008 Steve Matson,©2008 Steve Matson,,,Yes,1.0,,,,,,,,,,,,
40,Castilleja ambigua,Salt Marsh Owl’s-clover,Orobanchaceae,Orthocarpus castillejoides,Annual,Summer,White;Yellow,< 1 ft,CA Native,Riparian;Wetland,Sun,Clay;Loam;Sand,,Moderate,Buds/greens;Pollinator,Butterflies;Insects,No,0.0,Garden,,,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",,©2005 Doreen L. Smith,©2009 Jorg Fleige (CC BY-NC 3.0),©2005 Doreen L. Smith,"© Br. Alfred Brousseau, Saint Mary's College",,,Yes,1.0,,,,,,,,,,,,
41,Cirsium quercetorum,Brownie Thistle,Asteraceae,,Perennial,Summer,White,1-3 ft,CA Native,Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam,,Low,Buds/greens;Pollinator,Bees;Butterflies;Insects,No,0.0,Garden,,,"Short plant that spreads well by runners. Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",,©2007 Neal Kramer,"© Br. Alfred Brousseau, Saint Mary's College",©2010 Zoya Akulova (CC BY-NC 3.0),©2013 James Gonsman,,,Yes,1.0,,,,,,,,,,,,
42,Castilleja latifolia,Monterey Indian Paintbrush,Orobanchaceae,,Perennial,Spring;Summer,Orange;Red,< 1 ft,CA Native,Coastal scrub;Grassland/prairie;Dunes,Sun,Clay;Loam;Sand,,Low,Buds/greens;Pollinator,Butterflies;Insects,No,0.0,Garden;Roof,,,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",,©2010 Steven Thorsted (CC BY-NC 3.0),Gerald and Buff Corsi © California Academy of Sciences,"©Joseph Dougherty, M.D./ecology.org",©2010 Steven Thorsted (CC BY-NC 3.0),,Sandy Soil,Yes,1.0,,,,,,,,,,,Sandy Soil,1.0
43,Castilleja subinclusa ssp. franciscana,Franciscan Paintbrush,Orobanchaceae,,Perennial,Summer,Orange;Red,1-3 ft,CA Native,Coastal scrub;Grassland/prairie;Woodland,Sun,Clay;Rock,,Low,Buds/greens;Pollinator,Butterflies;Insects,No,0.0,Garden,,,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",,©2013 Robert Sikora,©2004 Sharon Salisbury,©2013 Robert Sikora,©2007 Neal Kramer,,,Yes,1.0,,,,,,,,,,,,
44,Claytonia perfoliata,Miner's Lettuce,Montiaceae,,Annual,Spring;Winter,Pink;White,< 1 ft,CA Native,Chaparral;Coastal scrub;Woodland,Part Shade,Clay;Loam;Sand,,Low,Buds/greens;Cover;Fruit;Pollinator,Birds;Insects,No,0.0,Garden,,,Prolific plant. Attracts Mourning Doves and California Quail.,,Albert P. Bekker © California Academy of Sciences,©2010 Steven Thorsted (CC BY-NC 3.0),©2005 Charles E. Jones,"© Br. Alfred Brousseau, Saint Mary's College",,,Yes,1.0,,,,,,,,,,,,
